【方案E】E|週日渡海錯峰版,"把北九州日改壓週日(唐戶馬関街週日8:00-15:00時窗最寬、皿倉山週日照常夜營到22:00),空出的週六拿去太宰府+福岡市美術館「金土夜間開館」紅利——給想錯開人潮、三大硬點仍全中的另一種日序解。",,,
,08:45-09:30,參道+隈研吾星巴克+天滿宮境內速覽,"徒步,駅前即參道","先進星巴克吹冷氣拍2,000根杉木的木組隧道(晨光斜射最好拍);かさの家9:00開,吃現烤梅ヶ枝餅;對神社低興趣→境內速看124年大修後的新檜皮本殿即可"
,09:30-12:15,九州國立博物館「氷河期展」+常設展,"天滿宮後方「虹のトンネル」電扶梯+動步道,全程室內約5-10分,不曬太陽","9:30開館即進場躲冷氣;當日券¥2,000含4樓常設;菊竹清訓的雙曲面玻璃巨構本身就是建築看點;週六延長開館到19:00,看不夠可自由加碼"
,12:15-13:30,"參道午餐(自由,不指定)",徒步回參道,"留75分不趕;趣味選項:一蘭太宰府参道店的五角形「合格碗」,與8/10晚總本店演舞前後呼應"
,13:30-14:45,回天神、回飯店,"太宰府13:51發「旅人」觀光列車區間車→二日市轉急行回天神約40分,免加價免預約;天神→中洲川端地鐵1站約3分","回程順便收集旅人列車體驗(車內有紀念章);到天神後直接回房,躲開全日最熱時段"
,14:45-15:45,飯店午休,,"刻意留白——今天的雙錨是「太宰府早場+美術館夜場」,中段就該休息;這是守住「一天一個主軸、絕不趕」的保險,也為晚上的夜間開館存體力"
,15:45-17:00,天神百貨壓縮版:岩田屋本店B2食品館+天神地下街一段,地鐵中洲川端→天神約3分,"75分鐘只鎖定兩件事:岩田屋B2買齊常溫伴手禮(銘菓、明太子常溫品)——伴手禮別全押最後一晚,主力今天解決;地下街順路補一段藥妝。全程冷氣,逛不完的留給機場補"
,17:00-17:15,前往福岡市美術館,計程車約10分(市區起跳約¥670-700),"怕熱最佳解:免走「地鐵+出站10分曝曬步行」那段,門到門直達美術館門口;17時陽光仍烈,這¥1,000上下花得值"
,17:15-19:15,福岡市美術館(金・土夜間開館),,"7-10月金土延長至20:00——傍晚才入館,避開白天曝曬;常設¥200看達利、米羅、Warhol;8/10(一)休館、8/9在北九州,所以美術館非排今晚不可,這正是本日序的最大紅利"
,19:15-19:40,草間彌生《南瓜》+(選配)湖畔短走,"美術館2樓戶外エスプラナード即面向大濠公園,零移動","《南瓜》出館順看、免費打卡;日落19:12後湖畔轉涼,體力還行才沿湖走一小段,不強求環湖——明天北九州是全程最長的一天"
,19:40-21:00,晚餐(自由)後回飯店早歇,"地鐵大濠公園→中洲川端約8分,或計程車約10分","晚餐可在天神或川端商店街周邊自由選;今晚刻意早收,為明天的北九州整日+皿倉山夜景蓄力"
8/9(日),,▍當日主軸:北九州一日:門司港懷舊→渡船→唐戶壽司→海響館 → 皿倉山「百億夜景」,,
,07:35-09:35,博多→門司港,"地鐵中洲川端→博多約3分;JR鹿兒島本線快速直達約1小時36分・¥1,500(求快可特急ソニック轉小倉,約1小時15分)","直達快速約1小時僅1班——前一晚先用乘換案內鎖定08:00前後的班次,據此回推出門時間;沒接上、09:45才到也有Plan B:車站速看20分改搭10:30渡船,後段全不受影響。車上補眠"
,09:35-10:05,門司港駅建築巡禮,出站即是,1914年木造、日本第一座重要文化財現役車站;舊三等候車室改裝的復古星巴克可坐下喝一杯
,10:10-10:15,關門汽船渡船 門司港→唐戶,"渡船5分・¥400,門司港發每時10/30/50分,免預約","5分鐘橫渡關門海峽看港灣風景,比人道隧道省力得多,完全符合不走路原則"
,10:15-11:45,唐戶市場「活きいき馬関街」壽司午餐,碼頭徒步2-3分,"週日8:00-15:00、各攤賣完就收;10時過後到貨仍齊、遠早於正午人峰——週日時窗比週六(10:00才開攤)寬得多,容錯大,這正是北九州排週日的優勢;建議端上2F室內席吹冷氣吃,留足90分慢慢挑攤"
,11:45-14:00,海響館(下關市立水族館),徒步2-3分,"2025/8全面改裝重開、大人¥2,500(可先買WEB入館券免排隊);正午最熱的兩小時全程冷氣:關門海峽潮流水槽、河豚展區、企鵝村、海豚秀"
,14:20-14:25,渡船回門司港,"渡船5分,唐戶發每時00/20/40分",配合下午的開橋時刻回到門司港側
,14:30-16:30,門司港レトロ:藍翼吊橋開橋(15:00或16:00場)+舊門司三井俱樂部+海峽プラザ+燒咖哩,各點徒步3-5分,"開橋每場約20分,卡15時或16時整點看;三井俱樂部2F愛因斯坦紀念房¥150;熱了就鑽進海峽プラザ吹冷氣;名物燒咖哩(BEAR FRUITS等)當下午茶兼早晚餐,山頂還能再補食"
,16:40-17:15,門司港→八幡,JR快速「直達」約30分(停門司港・門司・小倉・戶畑・八幡),"這條直達快速是門司港接皿倉山最順的一段,不用繞小倉換車"
,17:25-17:40,八幡駅→皿倉山山麓駅,免費接駁巴士約10分——週日全天行駛(站牌2026/1起移至圓環左側西鐵巴士站旁),"錯過班次就計程車約5分(估約¥1,000);週日接駁全天有車,這也是週日上山的便利之處"
,17:45-20:30,皿倉山纜車+スロープカー上山:日落+「新日本三大夜景」,"纜車+坡道車合計約10分,來回套票¥1,230/人","週日照常夜間營運至22:00(定休僅週二);山頂比平地涼約5°C;19:11日落→19:45 magic hour是百億夜景精華;展望台有屋頂座椅區,餐廳「天宮」開到21:00可坐著簡單晚餐配夜景;週日晚隔天是上班日,人潮通常比週六鬆"
,20:40-22:35,下山回博多,"20:40下行纜車→21:15山麓發接駁→21:25八幡駅→21:39区間快速(參考班次,約22:35抵博多),地鐵或計程車回中洲川端","21:39為平日/週六時刻交叉驗證的參考班次,週日時刻未單獨驗證——下山前在山頂先用乘換案內查當晚實際班次;備援22:00、22:27普通(經博多),絕對末班22:57;切記22:43福間行「到不了博多」;不要硬拗22:00末班纜車;回到飯店約23:00,所以明早刻意排鬆"
8/10(一),,▍當日主軸:福岡市區慢日:麵包與咖啡街區晨光→teamLab→アジア美術館 → 一蘭演舞+中洲屋台之夜,,
,08:30-10:40,六本松 amam dacotan 現烤麵包早餐 → 藥院・今泉設計咖啡街區散步,"計程車約10-15分直達六本松(昨晚晚歸,別折騰轉乘);省錢替代:地鐵至天神走地下街轉七隈線(天神南→六本松);六本松→藥院七隈線2站","amam dacotan 8:00開(不定休,行前看IG),自然醒再出門、排現烤麵包當早餐;接著趁上午尚涼逛藥院・今泉(B・B・B Potters等選物與咖啡,獨立店多11點後開、不定休,以「散步+遇到有開的店就坐」的節奏;16区週一休勿撲空)。大濠公園昨晚出美術館已順訪,今早換街區不重複"
,11:00-13:00,teamLab Forest 福岡(BOSS E・ZO 5F),藥院→E・ZO計程車約10分(別走唐人町駅那段15分的曝曬路),"平日11:00開館、開館即入最鬆;全室內冷氣度過最熱時段;¥2,400起浮動票價,お盆前旺季建議先線上購票;週一去也避開週末人潮"
,13:00-14:15,"午餐(自由,不指定)","E・ZO 3F美食樓層,免移動","留75分;軟銀鷹若有晚場主場賽,傍晚周邊會塞,我們下午就撤,正好錯開"
,14:15-14:30,E・ZO→博多リバレイン,計程車約10-15分直達(門到門零曝曬);替代:西鐵巴士「九州医療センター」上車至天神轉地鐵1站,"14時許是全日最熱時段,絕不走E・ZO→唐人町駅那15分曝曬路去搭地鐵——計程車一段到位,才同時守住「避熱」與「少走路」"
,14:30-16:30,福岡アジア美術館(博多リバレイン7-8F),計程車直達樓下;館體與中洲川端駅6號出口直結,"週一全市美術館幾乎只有它開(它休週三);週一展廳觀覽至18:00、入場至17:30,14:30入館時間充裕;夏季展「アジア美術の歩き方 東アジア編」展期涵蓋;住オークラ的話美術館就在同棟,看完可先回房小歇"
,16:30-19:25,川端通商店街→Canal City博多+提早晚餐(自由),"有蓋商店街徒步約10分到Canal City,全程遮蔽","伴手禮主力已於8/8在岩田屋B2買齊,今晚Canal City只「順手補充」、不用硬找(博多阪急B1週一僅到20:00、與演舞卡位動線衝突,繞不過去);想吃「重箱釜だれとんこつ」的一蘭限定店就在這;18:00起運河夜間噴泉;晚餐提早吃、19:25前結束——20:15表演後還有屋台宵夜,少吃一點無妨"
,19:25-19:40,走到一蘭本社総本店(中洲5-3-2)卡位,徒步約10分(經川端商店街回中洲;中洲川端駅2號出口徒步1分),"19:40前站定店前視野位——開演前店外就會聚集人群,免費觀賞區先到先贏,跟著人群站最準"
,20:00-20:15,一蘭和楽団演舞(本社大樓陽台),,"員工著和風華服在陽台跳一蘭原創樂曲,約15分,站街上免費看、不需消費;時間可能隨日落微調、惡天候可能臨時中止;出發前1-2週查官方網站/X確認未停演"
,20:15-21:45,中洲屋台街宵夜+那珂川河畔夜散步,沿那珂川徒步8-10分至清流公園一帶屋台,"屋台週一有開(週日多休——所以屋台之夜非今晚莫屬);河畔晚風較涼,福博であい橋一帶霓虹倒映最美;走回中洲川端飯店僅2-5分,回房收行李"
8/11(二),,▍當日主軸:前往機場返台,,
,08:00-08:30,早餐+退房,,伴手禮主力8/8已在岩田屋B2買齊、昨晚Canal City已順手補過;早餐在飯店或便利商店簡單解決即可
,08:30-09:00,飯店→福岡機場國際線航廈,"計程車直達約15-20分(約¥2,000-3,000);替代:地鐵中洲川端→福岡空港約9分+免費接駁至國際線10-15分","台北航班在國際線航廈,地鐵只到國內線——帶行李建議計程車一段到位,9:00前抵達櫃台"
